antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"HERB MARKER CHIVES , HERB MARKER BASIL, HERB MARKER ROSEMARY","HERB MARKER THYME, HERB MARKER MINT, HERB MARKER PARSLEY",0.011854725724754822,0.013471279232675935,0.011208104321586377,0.9454545454545454,70.18298181818182,1.0,0.011048406001121419,18.08635988073427,0.9975775397031805,0.7938931297709922,0.9447097145808092,0.8887272727272727
"HERB MARKER THYME, HERB MARKER MINT, HERB MARKER PARSLEY","HERB MARKER CHIVES , HERB MARKER BASIL, HERB MARKER ROSEMARY",0.013471279232675935,0.011854725724754822,0.011208104321586377,0.832,70.18298181818182,1.0,0.011048406001121419,5.88181710878122,0.9992121981143174,0.7938931297709922,0.829984513033046,0.8887272727272727
"HERB MARKER CHIVES , HERB MARKER BASIL","HERB MARKER THYME, HERB MARKER MINT, HERB MARKER ROSEMARY, HERB MARKER PARSLEY",0.012393576894061861,0.012932428063368898,0.011208104321586377,0.9043478260869564,69.9286956521739,1.0,0.011047825279956092,10.319342797519313,0.9980693684316557,0.7938931297709922,0.9030946040245517,0.8855072463768114
"HERB MARKER THYME, HERB MARKER MINT, HERB MARKER ROSEMARY, HERB MARKER PARSLEY","HERB MARKER CHIVES , HERB MARKER BASIL",0.012932428063368898,0.012393576894061861,0.011208104321586377,0.8666666666666666,69.9286956521739,1.0,0.011047825279956092,7.407048173294531,0.9986142256040716,0.7938931297709922,0.8649934526407681,0.8855072463768114
"HERB MARKER CHIVES , HERB MARKER ROSEMARY","HERB MARKER THYME, HERB MARKER MINT, HERB MARKER BASIL, HERB MARKER PARSLEY",0.012716887595646082,0.012609117361784675,0.011208104321586377,0.8813559322033898,69.89830508474576,1.0,0.011047755593416251,8.322294582236385,0.9983899137648726,0.7938931297709922,0.8798408311411541,0.8851224105461393
"HERB MARKER THYME, HERB MARKER MINT, HERB MARKER BASIL, HERB MARKER PARSLEY","HERB MARKER CHIVES , HERB MARKER ROSEMARY",0.012609117361784675,0.012716887595646082,0.011208104321586377,0.8888888888888888,69.89830508474576,1.0,0.011047755593416251,8.885548011639182,0.9982809430255402,0.7938931297709922,0.8874577011243313,0.8851224105461393
"HERB MARKER CHIVES , HERB MARKER MINT, HERB MARKER BASIL","HERB MARKER THYME, HERB MARKER ROSEMARY, HERB MARKER PARSLEY",0.012070266192477638,0.013471279232675935,0.011208104321586377,0.9285714285714285,68.92971428571428,1.0,0.011045502395294783,13.811402090742522,0.9975329568435274,0.7819548872180452,0.9275960548082024,0.8802857142857142
"HERB MARKER THYME, HERB MARKER ROSEMARY, HERB MARKER PARSLEY","HERB MARKER CHIVES , HERB MARKER MINT, HERB MARKER BASIL",0.013471279232675935,0.012070266192477638,0.011208104321586377,0.832,68.92971428571428,1.0,0.011045502395294783,5.880534129806679,0.9989495974857565,0.7819548872180452,0.8299474200938147,0.8802857142857142
"HERB MARKER CHIVES , HERB MARKER ROSEMARY, HERB MARKER PARSLEY","HERB MARKER MINT, HERB MARKER BASIL, HERB MARKER THYME",0.012178036426339045,0.013363508998814527,0.011208104321586377,0.9203539823008849,68.870682272338,1.0,0.011045363022215104,12.387769275903771,0.9976291982074221,0.7819548872180452,0.9192752159224371,0.8795318298601198
"HERB MARKER MINT, HERB MARKER BASIL, HERB MARKER THYME","HERB MARKER CHIVES , HERB MARKER ROSEMARY, HERB MARKER PARSLEY",0.013363508998814527,0.012178036426339045,0.011208104321586377,0.8387096774193548,68.87068227233799,1.0,0.011045363022215104,6.124496174156695,0.9988278788388018,0.7819548872180452,0.8367212630126765,0.8795318298601198
"HERB MARKER CHIVES , HERB MARKER MINT, HERB MARKER THYME","HERB MARKER BASIL, HERB MARKER ROSEMARY, HERB MARKER PARSLEY",0.012393576894061861,0.013147968531091712,0.011208104321586377,0.9043478260869564,68.7823235923022,1.0,0.011045153962595587,10.317089419902212,0.9978280394856126,0.7819548872180452,0.903073438709279,0.8784034212401995
